"","weight","Time","Chick","Diet"
"1",199,20,"1","1"
"2",205,21,"1","1"
"3",40,0,"2","1"
"4",49,2,"2","1"
"5",58,4,"2","1"
"6",72,6,"2","1"
"7",84,8,"2","1"
"8",103,10,"2","1"
"9",122,12,"2","1"
"10",138,14,"2","1"
"11",162,16,"2","1"
"12",187,18,"2","1"
"13",209,20,"2","1"
"14",215,21,"2","1"
"15",43,0,"3","1"
"16",39,2,"3","1"
"17",55,4,"3","1"
"18",67,6,"3","1"
"19",84,8,"3","1"
"20",99,10,"3","1"
"21",115,12,"3","1"
"22",138,14,"3","1"
"23",163,16,"3","1"
"24",187,18,"3","1"
"25",198,20,"3","1"
"26",202,21,"3","1"
"27",42,0,"4","1"
"28",49,2,"4","1"
"29",56,4,"4","1"
"30",67,6,"4","1"
"31",74,8,"4","1"
"32",87,10,"4","1"
"33",102,12,"4","1"
"34",108,14,"4","1"
"35",136,16,"4","1"
"36",154,18,"4","1"
"37",160,20,"4","1"
"38",157,21,"4","1"
"39",41,0,"5","1"
"40",42,2,"5","1"
"41",48,4,"5","1"
"42",60,6,"5","1"
"43",79,8,"5","1"
"44",106,10,"5","1"
"45",141,12,"5","1"
"46",164,14,"5","1"
"47",197,16,"5","1"
"48",199,18,"5","1"
"49",220,20,"5","1"
"50",223,21,"5","1"
"51",41,0,"6","1"
"52",49,2,"6","1"
"53",59,4,"6","1"
"54",74,6,"6","1"
"55",97,8,"6","1"
"56",124,10,"6","1"
"57",141,12,"6","1"
"58",148,14,"6","1"
"59",155,16,"6","1"
"60",160,18,"6","1"
"61",160,20,"6","1"
"62",157,21,"6","1"
"63",41,0,"7","1"
"64",49,2,"7","1"
"65",57,4,"7","1"
"66",71,6,"7","1"
"67",89,8,"7","1"
"68",112,10,"7","1"
"69",146,12,"7","1"
"70",174,14,"7","1"
"71",218,16,"7","1"
"72",250,18,"7","1"
"73",288,20,"7","1"
"74",42,0,"8","1"
"75",50,2,"8","1"
"76",61,4,"8","1"
"77",71,6,"8","1"
"78",84,8,"8","1"
"79",93,10,"8","1"
"80",110,12,"8","1"
"81",116,14,"8","1"
"82",126,16,"8","1"
"83",134,18,"8","1"
"84",125,20,"8","1"
"85",42,0,"9","1"
"86",51,2,"9","1"
"87",59,4,"9","1"
"88",68,6,"9","1"
"89",85,8,"9","1"
"90",96,10,"9","1"
"91",90,12,"9","1"
"92",92,14,"9","1"
"93",93,16,"9","1"
"94",100,18,"9","1"
"95",100,20,"9","1"
"96",98,21,"9","1"
"97",41,0,"10","1"
"98",44,2,"10","1"
"99",52,4,"10","1"
"100",63,6,"10","1"
"101",74,8,"10","1"
"102",81,10,"10","1"
"103",89,12,"10","1"
"104",96,14,"10","1"
"105",101,16,"10","1"
"106",112,18,"10","1"
"107",120,20,"10","1"
"108",124,21,"10","1"
"109",43,0,"11","1"
"110",51,2,"11","1"
"111",63,4,"11","1"
"112",84,6,"11","1"
"113",112,8,"11","1"
"114",139,10,"11","1"
"115",168,12,"11","1"
"116",177,14,"11","1"
"117",182,16,"11","1"
"118",184,18,"11","1"
"119",181,20,"11","1"
"120",175,21,"11","1"
"121",41,0,"12","1"
"122",49,2,"12","1"
"123",56,4,"12","1"
"124",62,6,"12","1"
"125",72,8,"12","1"
"126",88,10,"12","1"
"127",119,12,"12","1"
"128",135,14,"12","1"
"129",162,16,"12","1"
"130",185,18,"12","1"
"131",195,20,"12","1"
"132",205,21,"12","1"
"133",41,0,"13","1"
"134",48,2,"13","1"
"135",53,4,"13","1"
"136",60,6,"13","1"
"137",65,8,"13","1"
"138",67,10,"13","1"
"139",71,12,"13","1"
"140",70,14,"13","1"
"141",71,16,"13","1"
"142",81,18,"13","1"
"143",91,20,"13","1"
"144",96,21,"13","1"
"145",41,0,"14","1"
"146",49,2,"14","1"
"147",62,4,"14","1"
"148",79,6,"14","1"
"149",101,8,"14","1"
"150",128,10,"14","1"
"151",164,12,"14","1"
"152",192,14,"14","1"
"153",227,16,"14","1"
"154",248,18,"14","1"
"155",259,20,"14","1"
"156",266,21,"14","1"
"157",41,0,"15","1"
"158",49,2,"15","1"
"159",56,4,"15","1"
"160",64,6,"15","1"
"161",68,8,"15","1"
"162",68,10,"15","1"
"163",67,12,"15","1"
"164",68,14,"15","1"
"165",41,0,"16","1"
"166",45,2,"16","1"
"167",49,4,"16","1"
"168",51,6,"16","1"
"169",57,8,"16","1"
"170",51,10,"16","1"
"171",54,12,"16","1"
"172",42,0,"17","1"
"173",51,2,"17","1"
"174",61,4,"17","1"
"175",72,6,"17","1"
"176",83,8,"17","1"
"177",89,10,"17","1"
"178",98,12,"17","1"
"179",103,14,"17","1"
"180",113,16,"17","1"
"181",123,18,"17","1"
"182",133,20,"17","1"
"183",142,21,"17","1"
"184",39,0,"18","1"
"185",35,2,"18","1"
"186",43,0,"19","1"
"187",48,2,"19","1"
"188",55,4,"19","1"
"189",62,6,"19","1"
"190",65,8,"19","1"
"191",71,10,"19","1"
"192",82,12,"19","1"
"193",88,14,"19","1"
"194",106,16,"19","1"
"195",120,18,"19","1"
